stock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AVN,0.1472241742796907,0.0851454823889739,-0.07677109793959913,0.15041271782329568,0.30029231995748074,0.1359084406294706,-0.12018711766822598,-0.04764826175869119,-0.0622718488297187,0.30524387451339585,0.017192982456140316,0.24577440496723013,0.07005399418524161,0.009315564756113393,-0.1580566594026407,-0.08023751522533507,-0.04601887104783964,0.2177685233385389,-0.13550869193502424,-0.07746827097412234,0.15168840450241183,-0.023735650015513365,-0.021293500715080182,0.014775125832115599,0.0007999999999999119,-0.05915267785771372,0.00679694137638065,0.05957805907173008,-0.1685250079643198,-0.01858237547892727,-0.028889322662502326,0.017286432160803944,0.03734439834024905,-0.18152380952380953,-0.06818710728415178,0.29445554445554434,-0.17325873046498164,-0.003500583430571691,0.07049180327868854,0.23824108510172826,-0.07897526501766783,-0.11682332629963554,0.0666811468288444,-0.05110975361433512,0.27210300429184553,-0.04942645074224017,-0.04134871339840285,0.19381710477600866,-0.10838889750348879,-0.11269565217391297,-0.0013720109760878563,0.054759568204121756,0.14793449944175663,-0.059328902577403086,-0.09994830260210241,0.0,-0.12406662837449733,0.08393442622950831,-0.01613228473482564,0.006763681082188944
BAFL,-0.059833646364368276,-0.00742009132420085,-0.049166187464059874,0.0538252192319324,0.01377331420373018,0.03396546844041892,-0.08540925266903932,-0.08769829392397477,-0.052821522309711266,0.12054035330793211,-0.0052550231839259,0.022063393412057097,-0.009729401033748863,-0.006754682222904429,0.12210200927357029,-0.05123966942148761,0.004645760743321903,0.11242774566473979,-0.05170174071187328,-0.07068493150684929,0.03744103773584895,-0.03353225348110256,-0.059100264628050514,0.04906250000000001,-0.03932082216264521,-0.034418604651162754,-0.0019267822736031004,0.032818532818532864,-0.06105919003115268,0.02521566025215649,0.0045307443365696365,-0.07280927835051543,0.014246004169562232,-0.019869818430969577,0.06396364907375052,0.3498685939553221,-0.024336821611097625,-0.0404090795709654,0.023134910319729585,0.14989837398373984,0.07180733539549267,0.04081632653061229,0.13567042978807686,-0.0866759679107082,0.12297116669849162,0.054922632205407274,0.09638942617666024,-0.05160246986180517,-0.10711517594171449,0.05295138888888884,0.08029678483099745,0.24984737484737485,0.01758456465990954,-0.026761070442817725,-0.04981504315659668,-0.05099922138593316,-0.03432243949131675,0.04262248654772005,0.08977319027570285,0.09720837487537404
BAHL,0.02466226830034568,-0.010118043844856817,0.038717670744927934,-0.0007454897867898991,0.038495971351835356,0.08204022988505755,-0.06307263311645195,-0.07823129251700678,0.017373923739237407,0.1097173945896932,-0.04507694402832629,-0.0028522532800913103,-0.02717391304347838,0.016612760952661176,0.017353579175704903,0.03340440653873511,-0.05075653370013755,0.08650920156499065,0.015737530008002043,-0.10793067226890751,0.004415660877244543,-0.042936694021101895,-0.11100903383861582,-0.009300723389596977,-0.027642559109874898,-0.034507419989272314,-0.017407407407407316,0.04975499434602337,-0.007540394973070019,-0.02243125904486254,-0.028867505551443462,-0.19016768292682917,0.08847058823529408,-0.08690012970168604,0.02320075757575757,0.30055529847292917,-0.09215442092154424,-0.11757789535567309,0.5154341550077723,0.0785463071512309,0.09429347826086976,0.06866153464117186,-0.03694667131404661,0.025576064664012632,0.135748735442889,0.03718280683583641,0.12023167565408444,-0.021037618113745937,-0.13194317974867964,0.035350886394629244,0.09128672745694022,0.2759260978553524,-0.043658589827548555,0.08894468538385447,0.01285634432643934,-0.018625827814569673,-0.026992830029523462,0.013003901170351106,0.12523177863357593,0.05203447838762831
BNWM,0.22002085505735125,-0.14123931623931618,-0.004229907937297717,0.06146926536731612,0.10475517890772146,0.10718090773492439,-0.023672055427251815,-0.05401143307707457,-0.06605542821421129,0.037929495760821164,0.07652622527944963,0.006789137380191823,-0.0013883379611265845,-0.17080436941410126,0.017724550898203573,-0.0383619675217699,-0.022271169848262273,-0.08435544430538189,-0.050027337342810285,-0.021582733812949617,0.07617647058823529,-0.0707843673134737,-0.11764705882352944,0.0,0.18333333333333335,-0.14084507042253525,-0.23770491803278693,0.08258064516129049,-0.11561382598331349,-0.01392632524708004,-0.04100227790432798,0.0071258907363420665,-0.03301886792452824,0.09414634146341472,0.0031208203299153414,-0.04266666666666674,-0.09470752089136492,0.0410256410256411,0.027093596059113434,0.44892086330935244,-0.20556107249255218,-0.04999999999999993,0.06447368421052624,0.047795632468067506,-0.01572945340149423,0.07990411506192574,-0.006659267480577102,-0.013407821229050376,0.3291808229520574,-0.14370917353024715,0.06135986733001664,0.1490625000000001,-0.027196083763938006,-0.053676265026558645,0.0357459379615952,-0.02481460353679421,-0.1327873647265282,0.25295109612141653,1.3539703903095561,-0.12269868496283598
BOP,0.0025510204081633514,0.01526717557251911,-0.1127819548872181,0.016949152542372836,0.04027777777777786,0.030707610146862407,-0.041450777202072464,-0.12027027027027037,-0.044546850998463894,0.08199356913183298,0.008915304606240682,-0.02356406480117823,0.022624434389140413,-0.028023598820059004,0.08649468892261014,-0.05027932960893855,0.00588235294117645,-0.007309941520467822,-0.05449189985272462,0.0,-0.05451713395638624,-0.10873146622734764,-0.08872458410351214,-0.03853955375253537,0.10759493670886067,-0.06666666666666665,-0.03469387755102038,-0.0042283298097252064,-0.11889596602972385,0.036144578313252795,-0.06279069767441847,0.0,-0.03970223325062039,-0.06459948320413433,-0.04143646408839774,0.2478386167146973,-0.210161662817552,0.16081871345029253,0.06045340050377823,0.2874109263657958,0.1955719557195572,-0.04320987654320996,0.011290322580645107,-0.14832535885167464,-0.0449438202247191,-0.04313725490196074,-0.002049180327868827,0.04928131416837789,-0.001956947162426781,-0.009803921568627416,0.1524752475247526,0.5807560137457042,0.17500000000000004,-0.06475485661424618,0.25519287833827886,-0.14736012608353033,-0.15711645101663596,0.09100877192982448,0.04020100502512558,0.35845410628019336
BWCL,0.08466548253404382,0.0577237991266375,0.0643787898335697,-0.0636363636363636,0.04427184466019418,0.03508119499194251,0.07874251497006002,-0.12822647793505404,-0.0038841133397008454,0.08054206085400151,-0.044486512068149464,-0.03312283308568609,0.001024524556573203,-0.09281647796328296,0.05760823579184904,0.007733848923261455,0.02189877605028112,-0.04149941732487372,-0.02046605876393115,-0.031995586815611765,0.012679868927197635,-0.053953292065278435,-0.055840582942969785,-0.035202394077807564,0.04456779038445835,0.019066968820817376,0.005214324054903852,0.03745518346174381,-0.05875000000000008,-0.00593703616904917,0.08447937131630656,-0.017028985507246297,0.09362329524511592,-0.0617458712504213,0.04174150441842084,0.0951724137931036,-0.017191435768262098,0.06119049144614608,0.05597150102644588,0.09308708330950877,-0.01626824292514506,0.04514516643624389,0.10658865428644115,-0.05558620689655169,0.015870697629131847,0.011165955815402473,0.06293838862559231,0.061753165685749956,-0.020325032545248423,0.0073299327017875004,0.27493617021276595,0.08384232836020167,0.10467157330705512,-0.01572256913470127,0.03172085646312439,0.05413418249698032,0.023828124999999867,0.022103522828436972,0.00910810272745377,0.30086313193588166
CHCC,0.13188828678616105,-0.140016203874199,0.11724905789653972,0.006515906477577715,0.11340441736481321,0.1190231890006157,0.08521303258145352,-0.09536416380330093,0.0038605230386052902,0.1840342389281726,-0.07077374404107073,-0.07092118615401954,0.05637135922330083,-0.17732207478890227,0.07457059069962302,-0.04223521767381422,0.006173677069199357,-0.026161418650124668,-0.05594405594405605,0.03322332233223313,-0.11456558773424197,-0.14101330767997422,-0.1316845543630425,-0.16294067067927787,0.3108628659476118,0.1320403565481436,0.049147702691009876,-0.03447422680412382,-0.12958059280772183,-0.030029440628066784,0.04917037636584376,0.08563162970106064,0.029845443240362313,0.05494221148870104,-0.01659717112255743,0.0867143332224809,-0.044067018590773555,0.0338535414165666,0.08623625948289204,0.09506841505131125,0.0606533906026292,-0.06405693950177938,0.034482758620689724,-0.03605830164765522,0.05377687200052583,-0.011666354732048245,0.02973109455876788,0.018451541715196473,-0.009449861562537576,0.10238804156286085,0.3909161062727373,0.11413172703495267,-0.026499253041189386,-0.06244290986152212,-0.00011691348402198543,-0.025607046809837497,0.0218799999999999,0.039534974752417185,0.09312045788304402,-0.028143300034447205
CNERGY,0.13554633471645916,0.23995127892813617,-0.11296660117878199,0.03100775193798455,-0.04940923737916225,0.09152542372881367,0.06211180124223592,0.01949317738791434,-0.09273422562141498,0.1854583772391991,0.03200000000000003,-0.15848406546080962,0.016376663254861867,-0.17623363544813697,-0.14058679706601462,-0.06827880512091045,0.03969465648854964,-0.09104258443465485,-0.10662358642972536,-0.05786618444846303,0.2188099808061419,-0.10551181102362206,-0.059859154929577496,-0.10299625468164786,0.11899791231732793,-0.08582089552238803,-0.053061224489796,0.010775862068965747,-0.21321961620469088,0.04878048780487809,-0.10077519379844968,-0.005747126436781658,0.054913294797687806,-0.126027397260274,-0.10971786833855801,0.22535211267605648,-0.1839080459770115,0.07042253521126773,0.29276315789473695,0.15521628498727735,0.08370044052863435,-0.20731707317073167,0.10000000000000009,0.030303030303030276,-0.020361990950226172,-0.002309468822170868,-0.10879629629629628,-0.08831168831168834,0.09971509971509973,-0.020725388601036343,-0.013227513227513144,0.2654155495978552,0.6631355932203391,-0.01273885350318471,-0.021935483870967776,0.08970976253298146,-0.14164648910411626,0.10860366713681247,-0.09287531806615779,-0.05610098176718081
COLG,0.41305623830661453,0.03229616937315827,-0.0704809808236403,0.03985389610389589,-0.016288085759633586,0.04230698018885404,-0.1179881491632091,0.01274563397301276,0.03703125000000007,0.0017806511704356875,-0.10872745669086781,0.12427705760527719,-0.02727669677701061,-0.07163999046109393,0.2097310365669387,-0.09175618286285292,-0.061033638639051646,0.07509227254086359,-0.11274743539092402,0.058931011715571024,-0.07281954614659614,0.01054063775550107,0.043162016187690444,-0.11053912114648545,0.16278875823534333,0.05354658251452338,-0.04272410412809058,-0.019613141800597478,-0.07453830642236436,0.09725204959791833,0.019100818606511805,-0.06337791235595935,0.022735096463263327,0.10242638880758625,0.49051519294845414,0.3724016316061347,-0.17502725573668365,0.06458210422812183,0.03977537222448002,0.17951505848576588,-0.04686737478837677,-0.11251580278128948,-0.038247863247863334,0.0016811079019476427,-0.03802391003792771,-0.012673501698510559,-0.05038726501381696,-0.033969440619057045,0.07212680741293864,-0.05419951245765664,0.06272803347280331,0.1868877759929446,-0.0026537517415246015,-0.008700858112153265,0.006361476828924628,-0.04568913782756545,-0.09650777679956413,0.026835568341762928,0.005452792673374729,-0.0038501872659176817
DCR,0.03948576675849402,-0.04593639575971731,-0.011111111111111183,-0.0074906367041198685,0.0,-0.016037735849056545,0.007670182166826578,-0.044719314938154175,0.045816733067729265,0.028571428571428692,0.020370370370370372,0.07168784029038111,0.007620660457239525,-0.015126050420168013,-0.005972696245733822,0.030042918454935563,0.01333333333333342,0.06990131578947367,0.04765564950038437,0.09611151870873069,-0.01807228915662651,-0.013633265167007469,-0.06565307532826548,0.031804733727810675,0.0028673835125447855,-0.008577555396712011,0.002883922134102379,-0.027318475916606855,0.008130081300813163,-0.003665689149560114,-0.012509197939661543,0.015648286140089507,0.005869405722670695,-0.02844638949671774,0.027027027027026973,0.0014619883040936088,0.007299270072992803,0.0,-0.024637681159420333,0.005943536404160454,0.014771048744461002,-0.013828238719068353,0.011070110701106861,0.046715328467153316,-0.0034867503486750717,0.12806158152554237,0.020471464019851116,-0.020060790273556117,0.06637717121588094,-0.002908667830133882,0.11318553092182015,0.07966457023060824,0.055825242718446466,0.02850574712643672,0.03889137237371476,0.07530120481927716,0.02480992396958781,0.08160874658336592,-0.024909747292418682,0.047760088855979266
